"","Player","PER","G"
"466","Festus Ezeli",13.06,23
"467","Michael Cooper",13.05,156
"468","Nick Weatherspoon",13.04,24
"469","Randy Wittman",13.04,30
"470","Walt Hazzard",13.03,48
"471","Larry Hughes",13.03,37
"472","Bill Bridges",13.02,90
"473","Nick Collison",13.01,48
"474","Tyson Chandler",13,45
"475","Rolando Blackman",13,52
"476","Scott Williams",13,58
"477","Johnny Dawkins",13,10
"478","Si Green",12.99,26
"479","Nate McMillan",12.96,61
"480","Damon Stoudamire",12.96,36
"481","Xavier McDaniel",12.95,34
"482","Dave Meyers",12.94,9
"483","Brad Davis",12.94,27
"484","Joe Johnson",12.93,106
"485","Bobby Jackson",12.91,28
"486","Mike McGee",12.9,34
"487","Zaza Pachulia",12.9,26
"488","Jim Barnett",12.9,11
"489","Dale Ellis",12.87,32
"490","Ray Williams",12.87,30
"491","Curtis Perry",12.85,52
"492","Mychal Thompson",12.83,82
"493","Allen Leavell",12.83,27
"494","Vinny Del Negro",12.83,34
"495","Phil Jackson",12.82,45
"496","Darrell Arthur",12.82,13
"497","Mike Bibby",12.81,95
"498","Corliss Williamson",12.81,47
"499","Larry Siegfried",12.8,63
"500","OG Anunoby",12.8,10
"501","Ed Ratleff",12.8,8
"502","A.C. Green",12.79,133
"503","Luke Ridnour",12.79,11
"504","Danilo Gallinari",12.78,7
"505","Stephen Jackson",12.76,68
"506","Kirk Hinrich",12.74,29
"507","Kevin Williams",12.69,14
"508","Gilbert Arenas",12.68,16
"509","Kelly Tripucka",12.68,14
"510","Markieff Morris",12.68,13
"511","Gus Johnson",12.67,28
"512","Gene Banks",12.67,11
"513","Tiny Archibald",12.66,40
"514","Rickey Green",12.66,21
"515","Fred Hetzel",12.65,23
"516","Don Ohl",12.63,18
"517","Greg Ostertag",12.63,65
"518","Maurice Evans",12.63,21
"519","Armen Gilliam",12.63,8
"520","Joe Caldwell",12.62,39
"521","Mario Elie",12.61,86
"522","Jim Cleamons",12.6,13
"523","Jamaal Magloire",12.6,7
"524","Lloyd Neal",12.59,19
"525","Olden Polynice",12.59,10
"526","Sean Elliott",12.57,74
"527","Marco Belinelli",12.57,45
"528","Lou Williams",12.57,24
"529","Timofey Mozgov",12.56,20
"530","Richard Jefferson",12.55,105
"531","Michael Cage",12.54,19
"532","Leandro Barbosa",12.52,102
"533","Stu Lantz",12.52,13
"534","John Salley",12.51,95
"535","Frank Ramsey",12.51,49
"536","Lucious Harris",12.51,40
"537","Ian Clark",12.51,16
"538","Jerry Sloan",12.5,33
"539","Joel Kramer",12.5,15
"540","Trenton Hassell",12.5,18
"541","Monta Ellis",12.49,25
"542","Michael Finley",12.48,101
"543","Reggie Theus",12.48,6
"544","Anthony Mason",12.47,80
"545","Ray Scott",12.45,10
"546","Kelly Olynyk",12.44,18
"547","Buck Williams",12.39,69
"548","Ray Felix",12.39,25
"549","Kurt Rambis",12.38,116
"550","Mike Dunleavy",12.37,47
"551","Jay Humphries",12.36,25
"552","Mike Gale",12.36,20
"553","Kendall Gill",12.36,9
"554","Stanislav Medvedenko",12.31,21
"555","Alton Lister",12.3,56
"556","Ed Davis",12.3,11
"557","John Long",12.29,9
"558","Dennis Rodman",12.28,161
"559","Dave Twardzik",12.28,14
"560","Gerald Wilkins",12.27,40
"561","Shaun Livingston",12.26,100
"562","Eric Gordon",12.26,28
"563","Tom Abernethy",12.26,11
"564","Jordan Hill",12.24,12
"565","Tyrone Corbin",12.23,63
"566","Rodney Rogers",12.22,56
"567","Jim King",12.19,28
"568","Vladimir Radmanovic",12.19,33
"569","Mike Sanders",12.19,17
"570","Dave Stallworth",12.18,19
"571","Fred Carter",12.18,25
"572","Howard Eisley",12.16,69
"573","Ernie DiGregorio",12.16,15
"574","Danny Ainge",12.12,173
"575","Otis Thorpe",12.11,35
"576","B.J. Armstrong",12.1,94
"577","Kevon Looney",12.1,17
"578","Alan Anderson",12.1,12
"579","P.J. Brown",12.08,86
"580","Steve Kuberski",12.08,29
"581","John Bagley",12.07,10
"582","Trevor Ariza",12.06,85
"583","Tim Hardaway",12.06,31
"584","Larry Costello",12.06,18
"585","Luke Jackson",12.06,39
"586","Raja Bell",12.04,50
"587","Jamaal Tinsley",12.04,25
"588","Jon McGlocklin",12.03,38
"589","Eric Money",12.03,9
"590","Mike Evans",12.03,36
"591","Jannero Pargo",12.02,12
"592","DeMarre Carroll",12.01,43
"593","Jamal Mashburn",12.01,37
"594","Malik Rose",11.98,47
"595","Will Perdue",11.98,10
"596","Thurl Bailey",11.96,41
"597","Dave Gambee",11.95,8
"598","Rod Higgins",11.94,17
"599","Eric Maynor",11.92,17
"600","Tom Henderson",11.91,77
"601","Marcus Smart",11.9,33
"602","Jerryd Bayless",11.9,15
"603","Walt Williams",11.9,15
"604","Lavoy Allen",11.89,12
"605","Desmond Mason",11.89,11
"606","Theo Ratliff",11.88,17
"607","Mitchell Wiggins",11.88,20
"608","DeSagana Diop",11.84,22
"609","Nikola Mirotic",11.84,9
"610","Truck Robinson",11.84,47
"611","Maurice Harkless",11.84,11
"612","Brent Barry",11.83,71
"613","Michael Adams",11.81,11
"614","Donyell Marshall",11.8,32
"615","Aron Baynes",11.79,19
"616","Anthony Carter",11.79,26
"617","Kwame Brown",11.79,7
"618","J.R. Smith",11.77,102
"619","Wayne Embry",11.77,22
"620","Andres Nocioni",11.76,12
"621","Mark Olberding",11.76,30
"622","Bostjan Nachbar",11.75,12
"623","Mario Chalmers",11.74,94
"624","Erick Dampier",11.74,42
"625","Dale Davis",11.73,98
"626","Sedale Threatt",11.73,41
"627","Luis Scola",11.72,37
"628","John Tresvant",11.72,18
"629","Randy Breuer",11.72,14
"630","Morris Peterson",11.72,12
"631","Jerry Stackhouse",11.7,45
"632","Keith Erickson",11.69,79
"633","Aaron Brooks",11.69,13
"634","Antoine Carr",11.69,70
"635","Bingo Smith",11.67,13
"636","Devin Harris",11.67,29
"637","Lance Stephenson",11.65,38
"638","John Battle",11.65,15
"639","Bob Weiss",11.63,18
"640","John Gianelli",11.62,21
"641","Wesley Person",11.62,10
"642","Glen Davis",11.61,38
"643","Darrall Imhoff",11.61,29
"644","Mitch Kupchak",11.6,30
"645","Ron Boone",11.6,8
"646","Robert Reid",11.59,58
"647","Caron Butler",11.58,59
"648","Kyle Macy",11.58,24
"649","Jim Washington",11.58,24
"650","Fabricio Oberto",11.57,37
"651","Tony Allen",11.57,69
"652","Wali Jones",11.57,28
"653","Mike Farmer",11.57,11
"654","Larry Smith",11.56,10
"655","Frank Selvy",11.56,47
"656","Kevin Kunnert",11.56,20
"657","Derek Fisher",11.55,253
"658","Steve Kerr",11.55,58
"659","Charlie Scott",11.55,27
"660","Elston Turner",11.55,15
"661","Clyde Lovellette",11.54,14
"662","Trent Tucker",11.52,31
"663","Brian Grant",11.51,42
"664","Paul Mokeski",11.51,16
"665","Austin Rivers",11.49,14
"666","Mahmoud Abdul-Rauf",11.48,12
"667","Kevin Gamble",11.46,21
"668","Grant Long",11.45,19
"669","Darren Daye",11.44,23
"670","Guy Rodgers",11.43,33
"671","Derrick McKey",11.42,120
"672","John Johnson",11.42,54
"673","Ian Mahinmi",11.41,19
"674","Dee Brown",11.41,11
"675","Wayne Cooper",11.4,40
"676","Nicolas Batum",11.4,16
"677","Danny Young",11.4,35
"678","Bill Bradley",11.39,86
"679","Udonis Haslem",11.35,100
"680","Anthony Johnson",11.35,54
"681","Shannon Brown",11.35,44
"682","Anthony Parker",11.34,17
"683","Larry Foust",11.34,12
"684","Jae Crowder",11.3,29
"685","Wally Szczerbiak",11.3,31
"686","Joe Ingles",11.3,22
"687","Tony Battie",11.28,26
"688","Keith Van Horn",11.28,32
"689","Tom Hawkins",11.28,62
"690","Mickey Davis",11.27,15
"691","David Wesley",11.24,42
"692","Delonte West",11.24,38
"693","Purvis Short",11.24,10
"694","Charles Pittman",11.23,17
"695","Danny Schayes",11.22,21
"696","Gene Conley",11.22,13
"697","Muggsy Bogues",11.2,9
"698","Kurt Thomas",11.2,64
"699","Paul Silas",11.19,132
"700","Rodney McCray",11.19,30
"701","Kenny Carr",11.19,9
"702","Danny Granger",11.17,11
"703","Isaac Austin",11.17,15
"704","Sleepy Floyd",11.16,10
"705","Johnny Newman",11.13,19
"706","Gerald Wallace",11.13,13
"707","Mickael Pietrus",11.11,69
"708","Patrick Beverley",11.11,17
